table,name,prizes
1,agarc179.github.io,"Best Domain Name from Domain.com, Amazon Web Services - Best Use of AWS, Motorola -- Best Public Safety Hack, most basic"
2,DemonTyper,"Best Domain Name from Domain.com, Amazon Web Services - Best Use of AWS, most basic"
3,Chicago Restaurant Watch,"Motorola -- Best Public Safety Hack, most basic"
4,Uplift,Motorola -- Best Public Safety Hack
5,Pic-a-vibe,
6,Skeletons of LifeDeath,"Best Domain Name from Domain.com, most basic"
7,SafetyChecker,"Motorola -- Best Public Safety Hack, most basic"
8,Domain name,
9,Ark,Motorola -- Best Public Safety Hack
10,Mentotality,"Best Domain Name from Domain.com, most basic"
11,BetterTabs,most basic
12,PP Tweets,"Best Domain Name from Domain.com, Motorola -- Best Public Safety Hack, most basic"
13,SmartAlc,Motorola -- Best Public Safety Hack
14,FOSScarina,most basic
15,Assault Fly,most basic
16,Suspicion Snitch,"Motorola -- Best Public Safety Hack, most basic"
17,e-jack-o-later-n,most basic
18,Gradient,Motorola -- Best Public Safety Hack
19,methereum,"Qtum - Best Blockchain Hack, Best Domain Name from Domain.com"
20,SafeTrack,"Best IoT Hack Using a Qualcomm Device, Best Hardware , Amazon Web Services - Best Use of AWS, Motorola -- Best Public Safety Hack"
21,CustiChatClient,most basic
22,WagorBark.com,"Best Domain Name from Domain.com, Amazon Web Services - Best Use of AWS, Motorola -- Best Public Safety Hack, most basic"
23,MedicalBusters,most basic
